%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1631907700774848075,32270,1631907700780952522,gps,0,0,39.81279662494716,-86.34155842932267,261.4142681704834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907700824789009,32271,1631907700830532593,gps,0,0,39.81279258521128,-86.34155835681241,261.4293791130185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907700874864655,32272,1631907700880955534,gps,0,0,39.81278855612931,-86.34155829997653,261.43372800014913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907700924750584,32273,1631907700930520370,gps,0,0,39.812784519397596,-86.34155830090481,261.41901629418135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907700974742007,32274,1631907700980005079,gps,0,0,39.812780523195265,-86.34155827104502,261.4320939388126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701049866338,32275,1631907701062420474,gps,0,0,39.812776466277654,-86.3415582278842,261.43274773284793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701074778047,32276,1631907701079695767,gps,0,0,39.81277243667989,-86.3415582366947,261.4352633226663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701124748757,32277,1631907701132448500,gps,0,0,39.812768427283494,-86.34155821054915,261.4405436478555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701174785189,32278,1631907701185939920,gps,0,0,39.81276442431521,-86.34155824206601,261.44958795420825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701224784883,32279,1631907701231253166,gps,0,0,39.81276038688734,-86.34155818293365,261.4558966346085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701274774821,32280,1631907701280371200,gps,0,0,39.81275632536817,-86.34155815377301,261.42388230841607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701324750740,32281,1631907701330559442,gps,0,0,39.81275231309937,-86.34155814361945,261.42263386026025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701374845297,32282,1631907701380913006,gps,0,0,39.81274828226971,-86.34155811236661,261.43151584174484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701424766794,32283,1631907701429674753,gps,0,0,39.81274428589518,-86.34155811905667,261.4358746521175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701474783184,32284,1631907701480526350,gps,0,0,39.812740283856876,-86.34155815953125,261.43385175894946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701524797187,32285,1631907701535351122,gps,0,0,39.81273623766276,-86.34155814799287,261.4364463929087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701574874585,32286,1631907701581353219,gps,0,0,39.81273225844707,-86.3415581008427,261.4366521453485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701624814021,32287,1631907701629365550,gps,0,0,39.81272825812065,-86.34155809382187,261.43830033764243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701674882790,32288,1631907701680545672,gps,0,0,39.81272425165202,-86.34155809355656,261.4377638781443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701725063598,32289,1631907701730352787,gps,0,0,39.81272024560835,-86.3415580713049,261.4349831081927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701774852253,32290,1631907701779791006,gps,0,0,39.81271628117081,-86.34155801256503,261.43751093465835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701824809894,32291,1631907701829322462,gps,0,0,39.81271229087032,-86.34155799618992,261.4421590194106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701874789119,32292,1631907701880110545,gps,0,0,39.81270832838011,-86.34155799233021,261.44982722308487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701924914012,32293,1631907701930919570,gps,0,0,39.81270437133301,-86.34155797241631,261.4485372630879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907701974836622,32294,1631907701980091688,gps,0,0,39.81270036528215,-86.3415579483337,261.4374489886686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702049698097,32295,1631907702070926320,gps,0,0,39.81269646046934,-86.34155791613742,261.45016658026725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702074778740,32296,1631907702081321682,gps,0,0,39.81269250321769,-86.34155789895743,261.462259195745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702124861239,32297,1631907702131619519,gps,0,0,39.81268857620055,-86.34155789684834,261.45655009150505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702174854511,32298,1631907702180826794,gps,0,0,39.81268462072018,-86.3415578564459,261.45493102353066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702224844848,32299,1631907702229568881,gps,0,0,39.81268070224152,-86.34155784541221,261.4648213442415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702274855164,32300,1631907702280141291,gps,0,0,39.81267681875896,-86.34155785917862,261.46598170883954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702324846242,32301,1631907702330192332,gps,0,0,39.81267292890018,-86.34155785068772,261.466197472997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702374883446,32302,1631907702379790056,gps,0,0,39.81266905968892,-86.34155787609573,261.4689090847969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702424804602,32303,1631907702429644788,gps,0,0,39.81266518642328,-86.3415578638808,261.4691247185692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702474851881,32304,1631907702481971956,gps,0,0,39.81266133237045,-86.3415578991995,261.4715094557032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907702524796541,32305,1631907702542135574,gps,0,0,39.81265749370808,-86.34155791790883,261.47728559281677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
